敞開;敞开;2;關閉;关闭;1;2;2;mi;Complementary antonyms representing a binary state of being open or closed (e.g., a door, window, or heart), with no intermediate spectrum.
敞開;敞开;2;關閉;关闭;1;2;2;an;To open vs. to close are complementary antonyms representing two opposite states of a door, window, or device with no intermediate position—something is either open or closed.
敞開;敞开;2;關閉;关闭;1;2;2;oa;“敞開／敞开” means to open (e.g., a door or heart), while “關閉／关闭” means to close or shut; these are complementary antonyms because something can only be open or closed, with no in-between.
有礙;有碍;1;放行;放行;2;2;2;mi;These definitions form complementary antonyms as "有礙／有碍" (to obstruct or hinder) and "放行" (to allow to pass) represent absolute opposites with no middle ground—either passage is blocked or it is permitted.
有礙;有碍;1;放行;放行;2;1;2;an;Both terms describe positions on a spectrum of allowing or preventing passage/movement: "有礙" means to obstruct or hinder, while "放行" means to allow passage, representing opposite degrees of facilitating movement through a point.
有礙;有碍;1;放行;放行;2;2;2;oa;Complementary antonyms: "to be a hindrance to; to get in the way of; to obstruct" and "to allow to pass" represent an either-or situation—something either obstructs or it is allowed through, with no middle ground.
附近;附近;1;遠方;远方;1;1;2;mi;"Gradable antonyms: These definitions represent opposites on a continuous spatial spectrum, where '附近' (nearby/vicinity) and '遠方' (far away/distant location) describe relative proximity or distance from a reference point."
附近;附近;1;遠方;远方;1;1;2;an;Nearby and far away represent opposite ends of a spatial distance spectrum, describing locations that are close versus distant from a reference point.
附近;附近;1;遠方;远方;1;1;2;oa;"'Nearby' and 'far away place' are gradable antonyms, describing locations on a spectrum of distance—one close, the other distant."
冷淡;冷淡;1;蓬勃;蓬勃;1;1;2;mi;Gradable antonyms representing opposite ends of a spectrum of liveliness or engagement: "indifferent, cold, aloof" (冷淡) contrasts with "prosperous, flourishing, thriving" (蓬勃) in terms of emotional or situational intensity.
冷淡;冷淡;2;蓬勃;蓬勃;1;1;2;an;Both describe states of business/activity level: "sluggish/slack" versus "prosperous/flourishing/thriving" represent opposite ends of a continuous spectrum of economic or commercial vitality.
冷淡;冷淡;2;蓬勃;蓬勃;1;1;2;oa;冷淡 (sluggish; slack) and 蓬勃 (prosperous; flourishing; thriving) are gradable antonyms describing opposite ends on a spectrum of activity or vitality, especially in relation to business or development.
熱氣;热气;2;冷氣;冷气;2;1;1;mi;Gradable antonyms representing opposite ends of the temperature spectrum—"steam; heat" (high temperature) vs. "cold air; cold breeze" (low temperature).
熱氣;热气;2;冷氣;冷气;2;1;1;an;Both refer to temperature conditions of air - hot steam/heat versus cold air - representing opposite ends of the temperature spectrum.
熱氣;热气;2;冷氣;冷气;2;1;1;oa;‘熱氣／热气’ (steam; heat) and ‘冷氣／冷气’ (cold air; cold breeze) are gradable antonyms, representing opposite points on a temperature spectrum—heat versus cold.
稽延;稽延;1;進前;进前;3;1;2;mi;"Gradable antonyms: '稽延' (to delay) and '進前' (to advance) represent opposite actions on a temporal or spatial spectrum, where one involves holding back or postponing movement or action, while the other involves moving forward or making progress."
稽延;稽延;1;進前;进前;3;3;2;an;稽延 means "to delay/postpone" (moving something back in time or holding back action) while 進前/进前 means "to advance/step forward" (moving forward), representing opposing directional movements or actions from opposite perspectives of temporal or spatial progression.
稽延;稽延;1;進前;进前;3;1;2;oa;These definitions are gradable antonyms because "to delay; to postpone" and "to advance; to step forward" represent opposite actions on a temporal or processual spectrum: delaying progress versus moving forward.
盡命;尽命;2;生息;生息;1;2;1;mi;Complementary antonyms: "盡命" (D2) refers to the end of life or death, while "生息" (D1) refers to inhabiting or living, representing the fundamental binary opposition between life and death.
盡命;尽命;3;生息;生息;2;2;1;an;Complementary antonyms: to lose one's life (death) versus to reproduce/bring forth new life (birth) represent opposite biological endpoints with no middle ground between ceasing to exist and creating new existence.
盡命;尽命;3;生息;生息;1;2;1;oa;To "lose one's life" (to be killed) and "to live" are complementary antonyms because they represent mutually exclusive states—one either lives or dies, without a continuous spectrum between them.
划得來;划得来;1;划不來;划不来;1;2;2;mi;These definitions are complementary antonyms because they represent a binary opposition with no middle ground—an action is either worthwhile or not, with no continuous spectrum between the two.
